Pre-college,,,,,,,,,,,,,,,,,,
Name,Organization,url,Fee,College Credit?,Application deadline,Eligibility,,,,,,,,Requirement ,,,,Area of interest 
,,,,,,Grade(min),Grade(max),Ages (min),Ages (max),Nationality,Region,GPA (min),Please put this information into left columns!!,Letter of recommendation,Essay,Transcript ,,
Uconn Pre-college Summer,university of conneticut,https://precollege-summer.uconn.edu/courses,1900,,2021-07-01 00:00:00,,,,,,,,,,,,,
Launchx,LaunchX,launchx.com,5980,,2021-10-30 00:00:00,9,12,,,,,,grades 9th-12th,,,,,
Stanford University Mathematics Camp (Sumac),Stanford university and more,sumac.stanford.edu,3250,,2021-12-01 00:00:00,10,11,,,,,,grades 10th-11th,,,,,
The Summer Science Program (Ssp),The Summer Science Program (SSP),https://summerscience.org,3950,,2021-12-15 00:00:00,,,15,18,,,,ages 15-18,,,,,
Massachusetts Institute of Technology – Minority Introduction to Science and Engineering (Mites),Massachusetts Institute of Technology,oeop.mit.edu,0,,2022-02-01 00:00:00,11,11,,,,,,high school juniors; U.S. citizens or permanent residents,Y,Y,Y,essays; teacher recommendations; and transcripts,
Texas Tech University – Clark Scholars,Texas tech university,www.depts.ttu.edu,0,,2022-02-08 00:00:00,,,17,,,,,ages 17 or older,Y,Y,Y,essay; transcript; standardized test scores and more,
School of the Art Institute of Chicago: Early College Program Online Summer Institute,School of the Art Institute of Chicago,https://www.saic.edu/continuing-studies/high-school/summer/dates-deadlines,4317,,2022-03-01 00:00:00,,,,,,,,,,,,,
Simons Summer Research Program,Stony Brook University,www.stonybrook.edu,3200,,2022-03-01 00:00:00,,,16,17,,,,ages 16-17,,,,,
Girls Who Code Summer Immersion Camp,Girls Who Code,girlswhocode.com,300,,2022-03-15 00:00:00,9,12,,,US,,,Girls and non-binary students; grades 9th-12th; students in US,,,,,
Tean: Summer in Seoul,The Education Abroad Network,https://teanabroad.org/programs/south-korea/seoul/summer-in-seoul/,1650,,2022-03-15 00:00:00,,,,,,,2.5,2.5 GPA,,,,,
Naval Academy Summer Seminar,united states naval academy,www.usna.edu,300,,2022-03-31 0:00:00,11,11,,,,,,high school juniors,,,,,
Husson University: Early College Access Program (Ecap),Husson university,https://www.husson.edu/admissions/undergraduate-professional-admissions/advanced-credit-program/ecap,0,,,11,12,,,,,2.7,grades 11th-12th; 80 GPA,,,,,
Id Coding & Ai Academy | Held at University of Miami,University of miami,https://www.idtech.com/locations/florida-summer-camps/university-of-miami,3899,,,,,13,18,,,,ages 13-18,,,,,
Point Park University: Online Community Classes - Spring 2021,Point Park University,https://www.pointpark.edu/apply,0,,,11,12,,,US,,,grades 11~12; U.S. students,,,,,
Rider University: Pre-college Arts Programs,Rider University,https://www.rider.edu/admissions/pre-college,495,,,,,,,,,,,,,,,
University of Rochester Online Courses for High School Students,university of rochester,https://opencampus.newschool.edu/program/summer-programs/youth-teen-programs/parsons-online-summer-intensive-studies-pre-college?utm_source=teenlife,995,,,9,12,13,,,,,grades 9th-12th; ages 13 or older,,Y,,personal statement and more,
Foundation for Teaching Economics - Economics for Leaders (Efl),The Foundation for Teaching Economics @UC Berkeley,https://www.fte.org/students/2021-program-sites-and-dates/,650,,2021-04-14 0:00:00,10,11,,,,,,grades 10th-11th,Y,,Y,transcript; letter of recommendation; personal statement; and more,
Pre-university Honours Programme: Business Innovation and Entrepeneurship,University of Amsterdam,https://summerschool.uva.nl/content/pre-university-summer-courses/business/business.html?origin=PtN3uwswQquDlGtnNX3fZg#Programme-at-a-glance,850,,2021-05-01 0:00:00,9,12,16,,,,,high school student 16 or older,,,,,
Wharton Summer High School Programs,University of Pennsylvania,https://globalyouth.wharton.upenn.edu/summer-high-school-programs/,2099,,2021-05-07 0:00:00,,,,,,,3.3,3.3 GPA,Y,Y,Y,transcript; essay; recommendations,
Indiana University – Young Women’s Institute,Indiana University - Kelly School of Business,kelley.iu.edu,,,2021-06-01 0:00:00,,,,,,,3.5,3.5 GPA,,,,,
University of Delaware: Edge Summer College Program,university of delaware,https://www.udel.edu/apply/undergraduate-admissions/precollege-programs/edge,3680,,2021-06-04 0:00:00,11,12,,,,,3,"grades 11th - 12th 
3.0 GPA",,,,,
Boston Architectural College (Bac) Summer Academy,Boston Architectural College,https://the-bac.edu/academics/summer-academy,800,,2021-06-05 0:00:00,,,,,,,,,,,,,
